id,user,created_at,text,text_lenght,tag,built_in_tag
1371099241549070343,wellnessweare,2021-03-14 14:01:47,"['fmhc', 'is', 'a', 'fun', 'and', 'inclus', 'fast', 'pace', 'class', 'suitabl', 'for', 'all', 'level', 'of', 'experi', 'and', 'fit', 'thi', 'weekli', 'class', 's']",21,bodybuilding,#bodybuilding-filter:retweets
1371936902534807552,mapsofworld,2021-03-16 21:30:21,"['you', 'can', 't', 'go', 'to', 'gujarat', 'and', 'come', 'back', 'with', 'your', 'cup', 'half', 'empti', 'it', 'is', 'a', 'sizabl', 'museum', 'where', 'lion', 'prowl', 'histori', 's']",24,travel,#travel-filter:retweets
1371246483836653572,SchoolRubricEWB,2021-03-14 23:46:52,"['check', 'out', 'thi', 'messag', 'from', 'diron', 'about', 'our', 'excit', 'episod', 'of', 'ewb', 'with', 'ed']",14,culture,#culture-filter:retweets
1371054272721338370,cbenderatl,2021-03-14 11:03:06,"['lucki', 'street', 'student', 'hous', 'project', 'construct', 'ha', 'start']",8,architecture,#architecture-filter:retweets
1371859998830063618,moomoodeul,2021-03-16 16:24:46,"['daili', 'tweet', 'for', 'mamamoo', 'brand', 'reput', 'mamamoo', 'solar', 'moonbyul', 'wheein', 'hwasa']",11,solar,#solar-filter:retweets
1371920992835018752,raftofwater,2021-03-16 20:27:08,"['dear', 'b', 'f', 'skinner', 'amp', 'amp', 'outgo', 'janetnapolitano']",8,love,#love-filter:retweets
1371918915832410112,_mothpike_,2021-03-16 20:18:53,"['is', 'it', 'just', 'me', 'or', 'do', 'ppl', 'hate', 'it', 'when', 'someon', 'give', 'you', 'art', 'advic', 'by', 'say', 'just', 'keep', 'draw', 'no', 'hate', 'to', 'ppl', 'w']",25,art,#art-filter:retweets
1370273090047864834,_MarcoG,2021-03-12 07:18:57,"['anoth', 'good', 'day', 'of', 'burn', 'some', 'calori', 'workout', 'fit', 'gym', 'motiv', 'fit', 'fitnessmotiv', 'train']",14,gym,#gym-filter:retweets
1371641482927558656,Essay_writers12,2021-03-16 01:56:28,"['do', 'you', 'need', 'help', 'in', 'do', 'your', 'biolog', 'math', 'algebra', 'calculu', 'chemistri', 'geometri', 'dissert']",14,physics,#physics-filter:retweets
1371705285136486401,Borelmedwriter,2021-03-16 06:09:59,"['except', 'product', 'creativ', 'project', 'busi', 'promo', 'provid', 'utmost', 'qualiti', 'small', 'o']",11,medical,#medical-filter:retweets
1371890937299755018,itz_carrie,2021-03-16 18:27:42,"['so', 'good', 'i', 'had', 'to', 'share', 'check', 'out', 'all', 'the', 'item', 'i', 'm', 'love', 'on', 'from', 'poshmark', 'fashion']",18,fashion,#fashion-filter:retweets
1371309684104265732,primetimeswrit1,2021-03-15 03:58:01,"['we', 'have', 'the', 'best', 'writer', 'to', 'tackl', 'your', 'essay', 'due', 'paper', 'pay', 'someon', 'help', 'case', 'studi', 'do', 'my', 'homework', 'onlin', 'c']",21,physics,#physics-filter:retweets
1371833610265890816,aheneghana,2021-03-16 14:39:54,"['product', 'link', 'store', 'id', 'link', 'handkerchief', 'hem', 'midi', 'dress']",9,fashion,#fashion-filter:retweets
1371665065544409088,foundinyonkers,2021-03-16 03:30:10,"['nation', 'institut', 'of', 'health', 'k', 'prize', 'for', 'idea', 'on', 'how', 'to', 'enhanc', 'gender', 'divers', 'in', 'biomed', 'and', 'behavior']",18,science,#science-filter:retweets
1371423682111803392,RJDriscollCEngr,2021-03-15 11:31:00,"['specialti', 'foundat', 'contractor', 'provid', 'contractor', 'w', 'structur', 'amp', 'geostructur']",9,engineering,#engineering-filter:retweets
1371693452014985216,JKK_Jaipur,2021-03-16 05:22:58,"['i', 'call', 'architectur', 'frozen', 'music', 'johann', 'wolfgang', 'von', 'goeth', 'repost', 'lakshya', 'photographi', 'on', 'instagram']",14,architecture,#architecture-filter:retweets
1371860432047251457,writingstore120,2021-03-16 16:26:29,"['dm', 'to', 'get', 'help', 'in', 'math', 'hw', 'excel', 'project', 'essay', 'due', 'pay', 'write', 'english', 'paper', 'pay', 'someon', 'do', 'help', 'case']",20,physics,#physics-filter:retweets
1371846360262189057,bob_thibeault,2021-03-16 15:30:34,"['for', 'anyon', 'who', 'feel', 'their', 'time', 'to', 'build', 'an', 'audienc', 'on', 'social', 'media', 'is', 'off', 'just', 'rememb', 'it', 'can', 'never', 'be', 'thi', 'b']",23,animal,#animal-filter:retweets
1371659135645708294,magnetsbyjen,2021-03-16 03:06:36,"['they', 'are', 'human', 'and', 'matter', 'just', 'as', 'much', 'as', 'you', 'and', 'i', 'we', 'as', 'human', 'don', 't', 'choos', 'where', 'we']",20,science,#science-filter:retweets
1371934873422815241,oni4219,2021-03-16 21:22:17,"['kass', 'charm', 'design', 'kass', 'art', 'digitalart', 'botw', 'loz', 'fanart']",9,art,#art-filter:retweets
1371855546148560899,CoolerData,2021-03-16 16:07:04,"['aim', 'to', 'becom', 'the', 'definit', 'sourc', 'for', 'locat', 'data', 'safegraph', 'rais', 'm']",12,technology,#technology-filter:retweets
1370646221774282753,DankLeftScum,2021-03-13 08:01:39,"['imagin', 'be', 'a', 'centrist', 'leftw', 'world', 'trump', 'polit', 'maga', 'liber', 'leftist', 'femin', 'polit']",13,political,#political-filter:retweets
1371862064680034308,shah_saharsh,2021-03-16 16:32:58,"['dneg', 'is', 'look', 'for', 'secur', 'oper', 'centr', 'soc', 'lead', 'job']",10,job,#job-filter:retweets
1371470490435346434,EandTJ,2021-03-15 14:37:00,"['the', 'open', 'univers', 'are', 'seek', 'to', 'recruit', 'an', 'outstand', 'candid', 'to', 'work', 'on', 'research', 'and', 'develop', 'into', 'imagi']",18,engineering,#engineering-filter:retweets
1370846816003096578,SecureMoveUK,2021-03-13 21:18:44,"['gym', 'move', 'in', 'preston', 'up', 'to', 'kendal', 'and', 'set', 'up', 'a', 'spin', 'class', 'studio', 'brought', 'in', 'secur', 'move', 'white', 'glove']",20,gym,#gym-filter:retweets
1371908396711088130,eBookConnection,2021-03-16 19:37:05,"['you', 're', 'never', 'too', 'old', 'or', 'too', 'young', 'to', 'have', 'an', 'excit', 'easier', 'and', 'except', 'life', 'art', 'rio', 'author', 'let', 's', 'tal']",22,love,#love-filter:retweets
1371896139050483712,bakaiti_master,2021-03-16 18:48:22,"['you', 'don', 't', 'go', 'to', 'russia', 'to', 'get', 'vaccin', 'russia', 'interfer', 'in', 'your', 'vaccin', 'covid', 'promot']",16,covid,#covid-filter:retweets
1371081585404039170,ObButterfly,2021-03-14 12:51:38,"['a', 'puffin', 'necklac', 'in', 'my', 'etsi', 'shop', 'sterl', 'silver', 'etch', 'puffin', 'necklac', 'anim']",13,animal,#animal-filter:retweets
1369616775973904385,ActuallyItsDad1,2021-03-10 11:51:00,"['conserv', 'group', 'to', 'invest', 'm', 'on', 'effort', 'to', 'tighten', 'elect', 'secur', 'law', 'in', 'swing', 'state']",15,election,#election-filter:retweets
1371556667234545670,tmj_ctn_pharm,2021-03-15 20:19:26,"['want', 'to', 'work', 'at', 'cv', 'health', 'we', 're', 'hire', 'in', 'southwick', 'ma', 'click', 'for', 'detail', 'pharmaci', 'pharmtech']",17,pharmacy,#pharmacy-filter:retweets
1371831377134546947,KeeterWolfhope,2021-03-16 14:31:02,"['you', 'can', 'put', 'your', 'trust', 'in', 'our', 'team', 'that', 'we', 'are', 'work', 'for', 'your', 'best', 'interest', 'and', 'match', 'your', 'need', 'to', 'the', 'prope']",23,business,#business-filter:retweets
1371897868613779458,chirhodating,2021-03-16 18:55:15,"['how', 'to', 'use', 'the', 'law', 'of', 'attract', 'to', 'get', 'the', 'guy', 'lawofattract', 'loa', 'manifest', 'love', 'datingtip']",16,love,#love-filter:retweets
1371938590733824003,ModernWorldCen,2021-03-16 21:37:04,"['sweet', 'food', 'diabet', 'isnt', 'abt', 'no', 'to', 'sugar', 'but', 'to', 'abrupt', 'blood', 'sugar', 'peak', 'few', 'small', 'portion', 'of', 'refin', 'sugar', 'or', 'bulk', 'of', 'complex', 'sugar', 'is', 'ok']",27,food,#food-filter:retweets
1370406547642228738,RobynTBraley,2021-03-12 16:09:16,"['hey', 'our', 'frontlinework', 'show', 'so', 'much', 'courag', 'and', 'selfless', 'i', 'am', 'aliv', 'becaus', 'of', 'amaz']",15,medical,#medical-filter:retweets
1370723820592529410,Opoyis,2021-03-13 13:10:00,"['saifalikhan', 'wa', 'award', 'india', 's', 'fourth', 'highest', 'civilian', 'award', 'padmashri', 'the', 'actor', 'wa', 'alleg', 'to', 'have', 'bought', 't']",18,government,#government-filter:retweets
1371827159581491202,TheNanotechNews,2021-03-16 14:14:16,"['are', 'nanoscal', 'sensor', 'the', 'futur', 'for', 'sepsi', 'diagnosi', 'advanc', 'scienc', 'news']",11,science,#science-filter:retweets
